OffspringID,InferredDad,InferredMum,Probability
MC19_J0663,MC19_RM058,MC19_F0243,1
MC19_J0671,MC19_RM073,MC19_F0063,1
MC19_J0679,MC19_M0062,MC19_F0459,1
MC19_J0687,*,#,1
MC19_J0695,MC19_M0997,MC19_F0918,1
MC19_J0703,MC19_RM050,MC19_F0593,1
MC19_J0711,MC19_M0891,MC19_F0106,1
MC19_J0719,MC19_M0531,MC19_F0078,1
MC19_J0632,MC19_RM070,MC19_F0215,1
MC19_J0640,MC19_RM064,MC19_F0075,1
MC19_J0656,MC19_RM033,#,1
MC19_J0664,MC19_RM087,#,1
MC19_J0672,MC19_RM020,MC19_F0459,1
MC19_J0680,MC19_RM061,MC19_F0078,1
MC19_J0696,MC19_RM074,MC19_F0888,1
MC19_J0704,MC19_RM029,MC19_F0909,1
MC19_J0712,MC19_M0128,MC19_F0372,1
MC19_J0720,MC19_RM058,MC19_F0243,1
MC19_J0649,MC19_M0173,MC19_F0912,1
MC19_J0657,MC19_M0299,MC19_F0504,1
MC19_J0665,MC19_M0900,MC19_F0006,1
MC19_J0673,MC19_RM067,MC19_F0057,1
MC19_J0681,MC19_RM024,MC19_F0587,1
MC19_J0689,*,MC19_F0909,1
MC19_J0697,MC19_M0154,MC19_F0536,1
MC19_J0705,MC19_M0508,MC19_F0308,1
MC19_J0713,MC19_RM057,MC19_F0242,1
MC19_J0721,MC19_RM040,MC19_F0416,1
MC19_J0634,MC19_RM080,MC19_F0149,1
MC19_J0642,MC19_M0681,MC19_F0038,1
MC19_J0650,MC19_M0366,MC19_F0338,1
MC19_J0658,*,#,1
MC19_J0666,MC19_RM010,MC19_F0922,1
MC19_J0674,MC19_M0896,#,1
MC19_J0682,MC19_M0859,MC19_F0488,1
MC19_J0690,MC19_RM007,MC19_F0106,1
MC19_J0698,MC19_RM018,MC19_F0918,1
MC19_J0706,MC19_RM008,MC19_F0964,1
MC19_J0714,MC19_M0516,MC19_F0455,1
MC19_J0722,MC19_RM101,MC19_F0038,1
MC19_J0635,MC19_M0840,MC19_F0120,1
MC19_J0643,MC19_M0355,MC19_F0402,1
MC19_J0651,MC19_RM074,MC19_F0888,1
MC19_J0659,MC19_M0304,MC19_F0187,1
MC19_J0667,MC19_RM050,MC19_F0593,1
MC19_J0675,*,#,1
MC19_J0683,MC19_RM020,MC19_F0459,1
MC19_J0691,MC19_RM033,#,1
MC19_J0699,*,#,1
MC19_J0707,MC19_M0968,MC19_F0404,1
MC19_J0715,MC19_RM022,MC19_F0989,1
MC19_J0723,MC19_RM010,MC19_F0922,1
MC19_J0636,MC19_RM029,MC19_F0909,1
MC19_J0644,MC19_RM009,MC19_F0504,1
MC19_J0652,*,#,1
MC19_J0660,MC19_RM025,MC19_F0264,1
MC19_J0668,MC19_RM074,MC19_F0888,1
MC19_J0676,MC19_M0128,MC19_F0372,1
MC19_J0684,MC19_M0374,MC19_F0036,1
MC19_J0692,MC19_M0295,MC19_F0182,1
MC19_J0700,MC19_RM074,MC19_F0888,1
MC19_J0708,MC19_RM074,MC19_F0888,1
MC19_J0716,MC19_RM020,MC19_F0459,1
MC19_J0724,MC19_RM073,MC19_F0063,1
MC19_J0637,MC19_RM009,MC19_F0504,1
MC19_J0645,*,#,1
MC19_J0653,MC19_RM073,MC19_F0063,1
MC19_J0661,MC19_RM011,MC19_F0461,1
MC19_J0669,*,#,1
MC19_J0677,*,#,1
MC19_J0685,MC19_M0997,MC19_F0918,1
MC19_J0693,MC19_RM027,MC19_F0192,1
MC19_J0701,MC19_RM030,MC19_F0338,1
MC19_J0709,*,#,1
MC19_J0717,MC19_RM020,MC19_F0459,1
MC19_J0725,MC19_M0968,MC19_F0404,1
MC19_J0638,MC19_M0997,MC19_F0918,1
MC19_J0646,MC19_M0531,MC19_F0078,1
MC19_J0654,MC19_RM068,MC19_F0994,1
MC19_J0662,*,#,1
MC19_J0670,MC19_M0056,MC19_F0977,1
MC19_J0678,MC19_RM074,MC19_F0888,1
MC19_J0686,MC19_M0353,MC19_F0461,1
MC19_J0694,MC19_RM080,MC19_F0149,1
MC19_J0702,MC19_RM074,MC19_F0888,1
MC19_J0710,MC19_M0319,MC19_F0989,1
MC19_J0718,MC19_RM074,MC19_F0888,1
MC19_J0727,MC19_RM074,MC19_F0888,1
MC19_J0735,MC19_M0899,MC19_F0138,1
MC19_J0743,*,MC19_F0367,1
MC19_J0751,MC19_M0154,MC19_F0536,1
MC19_J0767,MC19_RM050,MC19_F0593,1
MC19_J0775,MC19_RM029,MC19_F0909,1
MC19_J0791,MC19_RM020,MC19_F0459,1
MC19_J0799,MC19_M0531,MC19_F0078,1
MC19_J0807,MC19_RM064,MC19_F0075,1
MC19_J0815,MC19_RM040,MC19_F0416,1
MC19_J0736,MC19_M0058,MC19_F0264,1
MC19_J0744,MC19_M0020,#,1
MC19_J0752,MC19_RM070,MC19_F0215,1
MC19_J0760,MC19_M0079,MC19_F0502,1
MC19_J0768,MC19_RM074,MC19_F0888,1
MC19_J0776,*,#,1
MC19_J0784,MC19_M0366,MC19_F0338,1
MC19_J0792,MC19_M0304,MC19_F0187,1
MC19_J0800,MC19_RM105,MC19_F0404,1
MC19_J0808,MC19_M0531,MC19_F0078,1
